Data,Fix,Top,Premium M.,Premium F.,Multiprev M.,Multiprev F.,Previdence,XP Prev,Access,Synta,Capit D. Inc,Capit D. Inc F.,Aquila6,Strategy,CW1,Inflation,Index,Alfa,Harpia,Emb,Portfolio,Multi,Volks Fusca,Fcopel,São Paulo,Reit,Reit 90,Top-Cotas,Premium M.-Cotas,Premium F.-Cotas,Multiprev M.-Cotas,Multiprev F.-Cotas,Previdence-Cotas,XP Prev-Cotas,Access-Cotas,Synta-Cotas,Capit D. Inc-Cotas,Capit D. Inc F.-Cotas,Aquila6-Cotas,Strategy-Cotas,CW1-Cotas,Inflation-Cotas,Index-Cotas,Alfa-Cotas,Harpia-Cotas,Emb-Cotas,Portfolio-Cotas,Multi-Cotas,Volks Fusca-Cotas,Fcopel-Cotas,São Paulo-Cotas,Reit-Cotas,Reit 90-Cotas
9/29/2017,99%,94%,106%,99%,#N/A,98%,101%,#N/A,89%,#N/A,#N/A,#N/A,139%,73%,151%,123%,107%,70%,65%,116%,133%,68%,#N/A,119%,#N/A,648%,#N/A,391718082.75,392269232.77,162566350.27,162696256.18,43895786.05,10414604.78,#N/A,30766515.10,#N/A,#N/A,#N/A,91783734.56,129531391.61,82058287.72,61144879.91,61080955.50,69496003.47,82352788.62,227932491.17,147885153.29,138701661.55,#N/A,255878584.52,#N/A,116121011.34,#N/A
10/2/2017,105%,100%,101%,94%,#N/A,105%,112%,#N/A,150%,#N/A,#N/A,#N/A,-16%,-212%,74%,-10%,-16%,131%,126%,106%,-124%,125%,#N/A,137%,#N/A,-1309%,#N/A,391845949.70,392095782.88,161697282.28,161889097.28,44733115.59,10448263.28,#N/A,31058045.54,#N/A,#N/A,#N/A,91779246.37,129445961.09,82077202.93,61142909.63,61077864.74,69524380.27,82384962.66,228007387.57,147828139.83,138755543.07,#N/A,255987270.09,#N/A,116218812.55,#N/A
10/3/2017,104%,99%,110%,108%,#N/A,94%,88%,#N/A,52%,#N/A,#N/A,#N/A,262%,-38%,210%,177%,161%,7%,18%,116%,320%,-131%,#N/A,-51%,#N/A,2612%,#N/A,391422717.99,391766183.53,161752445.76,162082687.37,45259602.98,10451122.62,#N/A,31063059.27,#N/A,#N/A,#N/A,91853976.97,129430615.63,82130616.34,61176483.49,61108383.65,69525987.75,82389500.63,228096244.74,147974885.04,138699277.66,#N/A,255946909.81,#N/A,117161764.71,#N/A
10/4/2017,104%,100%,115%,106%,#N/A,98%,99%,#N/A,120%,#N/A,#N/A,#N/A,219%,78%,208%,198%,180%,65%,96%,116%,237%,311%,#N/A,114%,#N/A,1426%,#N/A,393149573.62,393454326.90,162310185.87,162503145.90,46133972.54,10454336.29,#N/A,31074642.52,#N/A,#N/A,#N/A,91916364.85,129461917.49,82183754.63,61214114.73,61142636.15,69540030.88,82413950.53,228178171.27,148083710.06,138833083.39,#N/A,256037352.52,#N/A,117680659.59,#N/A
10/5/2017,100%,95%,121%,111%,#N/A,77%,133%,#N/A,39%,#N/A,#N/A,#N/A,274%,-44%,108%,-72%,-70%,-40%,-25%,116%,-47%,228%,#N/A,-346%,#N/A,-421%,#N/A,395071693.17,395455560.23,162371038.69,162609167.84,46623400.36,10458643.43,#N/A,31078449.29,#N/A,#N/A,#N/A,91994519.33,129314319.55,82211341.15,61150375.98,61129285.68,69531405.39,82407662.39,228260130.06,148061867.95,138931437.23,#N/A,255762449.46,#N/A,117526640.16,#N/A
10/6/2017,117%,112%,125%,114%,#N/A,140%,141%,#N/A,247%,#N/A,#N/A,#N/A,287%,-54%,307%,451%,431%,315%,309%,246%,412%,-55%,#N/A,452%,#N/A,1996%,#N/A,394814775.87,395270464.37,162433899.34,162556986.62,47334065.55,10503261.53,#N/A,31202324.91,#N/A,#N/A,#N/A,92076639.18,129292635.72,82289684.26,61235965.59,61211096.44,69599552.58,82486653.55,228434639.59,148251417.30,138907905.34,#N/A,256121687.81,#N/A,118255103.79,#N/A
10/9/2017,69%,64%,50%,51%,#N/A,27%,40%,#N/A,76%,#N/A,#N/A,#N/A,202%,-4%,109%,62%,56%,30%,44%,124%,241%,403%,#N/A,-14%,#N/A,1624%,#N/A,394628780.94,395034309.38,161459202.61,161684524.46,48245091.14,10504564.86,#N/A,31553234.73,#N/A,#N/A,#N/A,92134541.76,129291109.84,82317645.58,61247695.08,61221765.00,69606123.21,82497867.45,228522744.85,148362504.53,139081567.96,#N/A,256110227.27,#N/A,118851742.90,#N/A
10/10/2017,116%,111%,143%,130%,#N/A,112%,130%,#N/A,168%,#N/A,#N/A,#N/A,7%,307%,73%,103%,92%,204%,209%,126%,-88%,233%,#N/A,349%,#N/A,-1929%,#N/A,396970586.77,397284178.40,161931132.60,162140026.10,48732412.83,10508803.24,#N/A,31569669.92,#N/A,#N/A,#N/A,92136655.92,129414522.50,82336321.90,60667086.26,61239196.89,69650328.84,82551391.53,228611998.87,148322085.59,139182019.92,#N/A,256387864.84,#N/A,118139842.50,#N/A
10/11/2017,139%,134%,170%,153%,#N/A,125%,184%,#N/A,92%,#N/A,#N/A,#N/A,131%,-131%,220%,141%,127%,88%,84%,124%,198%,-95%,#N/A,35%,#N/A,477%,#N/A,396841446.68,397185687.17,163316471.93,163519833.06,49017684.01,10514819.35,#N/A,31578692.16,#N/A,#N/A,#N/A,92174185.37,129361934.69,82392525.40,60693720.47,61263342.32,69669378.78,82572963.74,228700070.64,148413526.78,139141137.69,#N/A,256415709.64,#N/A,118314799.63,#N/A
10/13/2017,132%,127%,158%,143%,#N/A,122%,166%,#N/A,104%,#N/A,#N/A,#N/A,101%,103%,264%,211%,191%,122%,128%,118%,272%,190%,#N/A,206%,#N/A,1135%,#N/A,395003759.18,395459226.52,163396864.06,163592565.39,49035821.15,10520253.82,#N/A,31588880.48,#N/A,#N/A,#N/A,92203240.58,129403179.45,82460073.79,60733435.79,61299611.17,69695691.94,82605739.31,228783797.18,148539098.64,139223266.19,#N/A,256579764.40,#N/A,118731875.12,#N/A
